ANumber,Stream,GWstatus,Site,Year,Month,Day,Date,Format.date,Collemb,Coleopt.Adult,Coleopt.Larva,Opilion,Spider,Pseudoscorp,Formicid,Vespidae,Dipt.Adult,Dipt.Larva,Acari,Millip,Centip,Hemipt,Lepidop.larva,Trichopt.adult,Plecopt.adult,Shelled.snails, Slug,Isopod,Siphonopt,Oligoch,Anura,Caudata,Abund,Tot.Taxa,ArtFlyAbund,ArtFlyProp,ArtTerrAbund,ArtTerrProp,ArtTerrTaxa
Z61,G,Dis,G Dis 4,2017,May,17,17-May-17,17-May-17,21,1,,,,,,,1,,19,,,,,,,1,,,,,,,43,10,1,0.023255814,42,0.976744186,4
Z62,G,NonDis,G NonDis 1,2017,May,17,17-May-17,17-May-17,59,8,,1,2,,,3,4,,21,1,,,,,,,,,,,,,99,17,7,0.070707071,92,0.929292929,6
Z63,G,NonDis,G NonDis 2,2017,May,17,17-May-17,17-May-17,183,4,,1,2,,,,7,,7,,,1,,,,1,,1,,,,,207,20,7,0.033816425,200,0.966183575,8
Z64,G,NonDis,G NonDis 3,2017,May,17,17-May-17,17-May-17,86,3,1,1,5,1,1,,1,,17,,,,,,,,,,,,,,116,19,1,0.00862069,115,0.99137931,8
Z65,G,NonDis,G NonDis 4,2017,May,17,17-May-17,17-May-17,,0,,,,,,,0,,,,,,,,,,,1,,,,,147,18,0,0,1,0.006802721,2
Z66,Griff,Dis,Griff Dis 1,2017,May,17,17-May-17,17-May-17,2,9,,,5,,,,13,,1,,,,,,,,,4,,,,,52,12,13,0.25,21,0.403846154,5
Z67,Griff,Dis,Griff Dis 2,2017,May,17,17-May-17,17-May-17,29,15,,,2,,,,4,,4,,,,,,,,,17,,,,,71,18,4,0.056338028,67,0.943661972,5
Z68,Griff,Dis,Griff Dis 3,2017,May,17,17-May-17,17-May-17,96,9,,2,13,,1,,5,,1,2,1,,,,,,,22,,,,,161,31,5,0.031055901,147,0.913043478,9
Z69,Griff,Dis,Griff Dis 4,2017,May,17,17-May-17,17-May-17,54,3,1,1,,,,,2,,6,,,,,,,,,3,,,,,70,11,2,0.028571429,68,0.971428571,6
Z70,Griff,NonDis,Griff NonDis 1,2017,May,17,17-May-17,17-May-17,7,1,,3,,,,,1,,17,,,,,,,,,13,,,,,42,13,1,0.023809524,41,0.976190476,5
Z71,Griff,NonDis,Griff NonDis 2,2017,May,17,17-May-17,17-May-17,33,3,,1,3,,,,9,,3,,,,,,,,,5,,,,,57,17,9,0.157894737,48,0.842105263,6
Z72,Griff,NonDis,Griff NonDis 3,2017,May,17,17-May-17,17-May-17,54,11,,1,1,,,1,8,1,13,1,,,,,,,,12,,,,,103,27,9,0.087378641,94,0.912621359,8
Z73,Griff,NonDis,Griff NonDis 4,2017,May,17,17-May-17,17-May-17,98,10,,2,3,,1,,6,,14,,,1,,,,,,4,,,,,139,31,6,0.043165468,133,0.956834532,8
Z74,Mike,Dis,Mike Dis 1,2017,May,17,17-May-17,17-May-17,13,2,,,1,,,,3,,9,1,,,,,,1,,,,,,,30,15,3,0.1,27,0.9,6
Z75,Mike,Dis,Mike Dis 2,2017,May,17,17-May-17,17-May-17,,0,,,,,,,0,,,,,,,,,,,,,,,,44,10,0,0,0,0,1
Z76,Mike,Dis,Mike Dis 3,2017,May,17,17-May-17,17-May-17,92,4,1,,1,,,,9,,11,,,,,,,,,,,,,,118,23,9,0.076271186,109,0.923728814,5
Z77,Mike,Dis,Mike Dis 4,2017,May,17,17-May-17,17-May-17,,0,,,,,,,0,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0,#DIV/0!,1
Z78,Mike,NonDis,Mike NonDis 1,2017,May,17,17-May-17,17-May-17,117,1,2,2,3,,,,7,,12,,,,,,,,,1,2,,,,147,22,7,0.047619048,140,0.952380952,8
Z79,Mike,NonDis,Mike NonDis 2,2017,May,17,17-May-17,17-May-17,75,2,,,3,,,,8,,6,1,,1,,,,,,2,,,,,98,17,8,0.081632653,90,0.918367347,7
Z80,Mike,NonDis,Mike NonDis 3,2017,May,17,17-May-17,17-May-17,75,3,,3,2,,,1,5,,6,,,,,,,,,2,,,,,106,23,6,0.056603774,91,0.858490566,6
Z81,Mike,NonDis,Mike NonDis 4,2017,May,17,17-May-17,17-May-17,67,1,,1,1,,,1,5,,7,,,,,,,,1,,,,,,84,17,6,0.071428571,78,0.928571429,6
