ANumber,Stream,GWstatus,Site,Year,Month,Day,Date,Format.date,Collemb,Coleopt.Adult,Coleopt.Larva,Opilion,Spider,Pseudoscorp,Formicid,Vespidae,Dipt.Adult,Dipt.Larva,Acari,Millip,Centip,Hemipt,Lepidop.larva,Trichopt.adult,Plecopt.adult,Shelled.snails, Slug,Isopod,Siphonopt,Oligoch,Anura,Caudata,Abund,Tot.Taxa
A13,G,Dis,G Dis 4,2017,June,14,14-Jun-17,14-Jun-17,20,12,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,38,12
A14,Griff,Dis,Griff Dis 2,2017,June,14,14-Jun-17,14-Jun-17,18,32,0,0,1,1,0,0,2,1,6,1,0,0,0,0,0,1,1,4,0,0,0,0,68,20
A15,Griff,NonDis,Griff NonDis 1,2017,June,14,14-Jun-17,14-Jun-17,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
A16,G,NonDis,G NonDis 1,2017,June,14,14-Jun-17,14-Jun-17,31,50,0,1,4,2,2,1,30,0,29,0,0,1,0,0,0,0,0,0,0,0,1,0,152,29
A17,Mike,Dis,Mike Dis 3,2017,June,14,14-Jun-17,14-Jun-17,31,9,1,0,0,0,0,0,4,1,10,0,0,0,0,0,0,1,0,1,0,0,0,0,58,16
A18,Griff,Dis,Griff Dis 1,2017,June,14,14-Jun-17,14-Jun-17,22,15,0,0,1,0,0,0,9,0,1,0,0,0,0,1,0,1,0,3,0,0,0,0,53,17
A19,Griff,NonDis,Griff NonDis 4,2017,June,14,14-Jun-17,14-Jun-17,66,40,0,0,2,0,2,1,9,2,29,2,0,0,0,0,0,2,0,1,1,0,0,0,157,24
A20,Mike,NonDis,Mike NonDis 1,2017,June,14,14-Jun-17,14-Jun-17,4,5,0,0,1,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,16,10
A21,G,Dis,G Dis 1,2017,June,14,14-Jun-17,14-Jun-17,40,39,0,0,0,0,0,0,14,1,9,0,0,0,0,0,0,0,0,0,0,1,0,0,104,19
A22,Griff,NonDis,Griff NonDis 3,2017,June,14,14-Jun-17,14-Jun-17,42,54,2,0,0,0,1,0,24,0,37,3,0,0,0,0,0,0,0,1,0,0,0,1,168,27
A23,Mike,NonDis,Mike NonDis 1,2017,June,14,14-Jun-17,14-Jun-17,99,36,1,0,1,1,0,0,58,0,13,2,0,0,0,0,0,2,0,3,0,0,0,0,217,26
A24,Griff,Dis,Griff Dis 4,2017,June,14,14-Jun-17,14-Jun-17,47,11,1,0,2,0,0,0,5,1,10,0,0,0,0,0,0,3,0,22,0,1,0,0,105,21
A25,Griff,NonDis,Griff NonDis 1,2017,June,14,14-Jun-17,14-Jun-17,25,5,0,0,0,1,0,0,3,1,10,0,0,0,0,0,0,0,0,1,0,0,0,0,46,14
A26,Griff,Dis,Griff Dis 4,2017,June,14,14-Jun-17,14-Jun-17,73,8,1,0,5,0,0,0,3,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,97,12
A27,Mike,Dis,Mike Dis 4,2017,June,14,14-Jun-17,14-Jun-17,184,20,0,0,0,0,0,0,7,0,8,0,0,0,0,1,0,0,1,1,0,0,0,0,222,23
A28,Griff,Dis,Griff Dis 3,2017,June,14,14-Jun-17,14-Jun-17,76,69,0,0,0,1,4,1,9,2,33,1,0,0,0,0,0,0,0,8,0,1,0,0,205,26
A29,Griff,NonDis,Griff NonDis 2,2017,June,14,14-Jun-17,14-Jun-17,97,26,0,1,2,0,0,1,23,1,19,0,0,0,0,0,1,1,0,5,0,0,0,0,177,29
A30,Griff,NonDis,Griff NonDis 1,2017,June,14,14-Jun-17,14-Jun-17,1,0,0,0,1,0,0,0,2,0,4,0,0,0,0,0,0,0,0,1,0,1,0,0,10,9
A31,Griff,Dis,Griff Dis 2,2017,June,14,14-Jun-17,14-Jun-17,8,5,0,0,2,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,25,11
A32,Griff,Dis,Griff Dis 1,2017,June,14,14-Jun-17,14-Jun-17,1,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8
A33,Mike,Dis,Mike Dis 3,2017,June,14,14-Jun-17,14-Jun-17,37,0,0,0,2,0,1,0,8,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,59,15
A34,G,NonDis,G NonDis 2,2017,July,12,12-Jul-17,12-Jul-17,11,586,1,0,0,0,0,7,152,0,118,0,1,0,0,0,0,1,0,1,0,0,0,0,878,34
A35,Griff,NonDis,Griff NonDis 3,2017,July,12,12-Jul-17,12-Jul-17,13,110,13,0,0,0,1,2,18,7,11,1,0,0,1,0,0,0,0,0,0,0,0,0,177,27
A36,Mike,NonDis,Mike NonDis 3,2017,July,13,13-Jul-17,13-Jul-17,23,159,6,0,2,0,1,1,42,7,7,2,0,0,0,0,0,0,1,0,0,0,0,0,251,30
A37,Mike,Dis,Mike Dis 4,2017,July,13,13-Jul-17,13-Jul-17,0,84,0,0,3,0,0,2,29,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,123,22
A38,Griff,NonDis,Griff NonDis 2,2017,July,12,12-Jul-17,12-Jul-17,19,107,1,0,4,0,1,1,62,0,15,18,0,0,0,0,0,2,0,13,0,0,1,0,244,35
A39,G,Dis,G Dis 4,2017,July,13,13-Jul-17,13-Jul-17,4,93,1,0,2,0,0,7,85,0,19,1,0,0,0,0,0,2,0,0,0,0,0,0,214,31
A40,Mike,Dis,Mike Dis 3,2017,July,13,13-Jul-17,13-Jul-17,11,96,0,1,2,0,0,4,234,1,311,0,1,0,0,0,0,0,2,2,0,0,0,0,665,34
A41,Mike,NonDis,Mike NonDis 2,2017,July,13,13-Jul-17,13-Jul-17,43,246,2,0,0,0,0,0,28,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,322,26
A42,Griff,Dis,Griff Dis 1,2017,July,12,12-Jul-17,12-Jul-17,12,257,1,0,6,0,0,0,50,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,335,26
A43,G,NonDis,G NonDis 4,2017,July,13,13-Jul-17,13-Jul-17,3,161,0,0,2,1,0,8,17,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,196,25
A44,Mike,NonDis,Mike NonDis 4,2017,July,13,13-Jul-17,13-Jul-17,16,204,0,0,4,0,0,2,41,3,5,3,0,0,0,0,0,1,0,0,1,0,0,0,280,28
A45,G,Dis,G Dis 3,2017,July,13,13-Jul-17,13-Jul-17,8,137,1,0,3,1,0,1,50,4,15,2,0,0,0,0,0,2,1,4,0,0,0,0,229,34
A46,G,NonDis,G NonDis 3,2017,July,13,13-Jul-17,13-Jul-17,1,161,2,0,7,0,1,2,35,0,10,1,1,3,0,0,0,0,0,3,0,0,0,0,229,31
A47,Griff,NonDis,Griff NonDis 4,2017,July,16,16-Jul-17,16-Jul-17,9,182,0,0,6,0,1,0,18,0,47,1,0,0,0,0,0,0,0,0,0,0,0,0,265,25
A48,Griff,Dis,Griff Dis 3,2017,July,12,12-Jul-17,12-Jul-17,18,240,0,0,4,0,0,1,32,1,9,1,1,0,0,0,0,1,0,3,0,0,0,0,311,36
A49,Mike,NonDis,Mike NonDis 1,2017,July,13,13-Jul-17,13-Jul-17,8,45,1,0,3,0,0,3,44,0,8,1,1,0,0,0,0,2,0,2,0,0,0,0,118,31
A50,Griff,NonDis,Griff NonDis 1,2017,July,12,12-Jul-17,12-Jul-17,19,39,0,0,10,0,12,1,21,0,13,0,0,0,0,0,0,0,0,19,0,0,0,0,134,20
A51,Griff,Dis,Griff Dis 4,2017,July,12,12-Jul-17,12-Jul-17,16,165,0,0,2,1,0,0,51,8,12,0,0,0,0,0,1,1,0,15,0,0,0,0,275,32
A52,Mike,Dis,Mike Dis 1,2017,July,13,13-Jul-17,13-Jul-17,12,153,0,0,4,1,2,1,21,0,5,4,2,0,0,0,0,0,0,1,0,0,0,0,206,28
A53,G,NonDis,G NonDis 1,2017,July,12,12-Jul-17,12-Jul-17,2,142,0,0,0,0,1,1,13,0,30,0,0,1,0,0,0,0,0,0,0,0,0,0,190,23
A54,G,Dis,G Dis 1,2017,July,12,12-Jul-17,12-Jul-17,17,261,1,0,1,0,0,2,111,0,54,1,0,1,0,0,0,1,4,0,0,0,0,0,454,31
A55,Mike,Dis,Mike Dis 2,2017,July,13,13-Jul-17,13-Jul-17,1,75,0,0,10,0,0,0,28,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,119,26
A56,G,Dis,G Dis 2,2017,July,12,12-Jul-17,12-Jul-17,8,52,0,0,6,0,0,1,19,0,8,0,1,0,0,0,0,0,0,1,0,0,0,0,96,27
A57,Griff,Dis,Griff Dis 2,2017,July,12,12-Jul-17,12-Jul-17,12,63,0,0,2,0,0,0,25,0,5,1,1,0,0,0,0,0,0,4,0,0,0,0,114,24
Z58,G,Dis,G Dis 1,2017,May,17,17-May-17,17-May-17,173,2,0,0,0,0,0,0,1,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,183,10
Z59,G,Dis,G Dis 2,2017,May,17,17-May-17,17-May-17,58,2,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,66,12
Z60,G,Dis,G Dis 3,2017,May,17,17-May-17,17-May-17,7,1,0,0,3,0,0,0,3,0,6,0,0,0,0,0,0,0,0,5,0,0,0,0,88,17
Z61,G,Dis,G Dis 4,2017,May,17,17-May-17,17-May-17,21,1,0,0,0,0,0,0,1,0,19,0,0,0,0,0,0,1,0,0,0,0,0,0,43,10
Z62,G,NonDis,G NonDis 1,2017,May,17,17-May-17,17-May-17,59,8,0,1,2,0,0,3,4,0,21,1,0,0,0,0,0,0,0,0,0,0,0,0,99,17
Z63,G,NonDis,G NonDis 2,2017,May,17,17-May-17,17-May-17,183,4,0,1,2,0,0,0,7,0,7,0,0,1,0,0,0,1,0,1,0,0,0,0,207,20
Z64,G,NonDis,G NonDis 3,2017,May,17,17-May-17,17-May-17,86,3,1,1,5,1,1,0,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,116,19
Z65,G,NonDis,G NonDis 4,2017,May,17,17-May-17,17-May-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,147,18
Z66,Griff,Dis,Griff Dis 1,2017,May,17,17-May-17,17-May-17,2,9,0,0,5,0,0,0,13,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,52,12
Z67,Griff,Dis,Griff Dis 2,2017,May,17,17-May-17,17-May-17,29,15,0,0,2,0,0,0,4,0,4,0,0,0,0,0,0,0,0,17,0,0,0,0,71,18
Z68,Griff,Dis,Griff Dis 3,2017,May,17,17-May-17,17-May-17,96,9,0,2,13,0,1,0,5,0,1,2,1,0,0,0,0,0,0,22,0,0,0,0,161,31
Z69,Griff,Dis,Griff Dis 4,2017,May,17,17-May-17,17-May-17,54,3,1,1,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,70,11
Z70,Griff,NonDis,Griff NonDis 1,2017,May,17,17-May-17,17-May-17,7,1,0,3,0,0,0,0,1,0,17,0,0,0,0,0,0,0,0,13,0,0,0,0,42,13
Z71,Griff,NonDis,Griff NonDis 2,2017,May,17,17-May-17,17-May-17,33,3,0,1,3,0,0,0,9,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,57,17
Z72,Griff,NonDis,Griff NonDis 3,2017,May,17,17-May-17,17-May-17,54,11,0,1,1,0,0,1,8,1,13,1,0,0,0,0,0,0,0,12,0,0,0,0,103,27
Z73,Griff,NonDis,Griff NonDis 4,2017,May,17,17-May-17,17-May-17,98,10,0,2,3,0,1,0,6,0,14,0,0,1,0,0,0,0,0,4,0,0,0,0,139,31
Z74,Mike,Dis,Mike Dis 1,2017,May,17,17-May-17,17-May-17,13,2,0,0,1,0,0,0,3,0,9,1,0,0,0,0,0,1,0,0,0,0,0,0,30,15
Z75,Mike,Dis,Mike Dis 2,2017,May,17,17-May-17,17-May-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,10
Z76,Mike,Dis,Mike Dis 3,2017,May,17,17-May-17,17-May-17,92,4,1,0,1,0,0,0,9,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,118,23
Z77,Mike,Dis,Mike Dis 4,2017,May,17,17-May-17,17-May-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Z78,Mike,NonDis,Mike NonDis 1,2017,May,17,17-May-17,17-May-17,117,1,2,2,3,0,0,0,7,0,12,0,0,0,0,0,0,0,0,1,2,0,0,0,147,22
Z79,Mike,NonDis,Mike NonDis 2,2017,May,17,17-May-17,17-May-17,75,2,0,0,3,0,0,0,8,0,6,1,0,1,0,0,0,0,0,2,0,0,0,0,98,17
Z80,Mike,NonDis,Mike NonDis 3,2017,May,17,17-May-17,17-May-17,75,3,0,3,2,0,0,1,5,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,106,23
Z81,Mike,NonDis,Mike NonDis 4,2017,May,17,17-May-17,17-May-17,67,1,0,1,1,0,0,1,5,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,84,17
