ANumber,Stream,GWstatus,Site,Year,Month,Day,Date,Formatted date,Purple.poduridae,White.Lge.poduridae,Sminthuridae,,Beetle1,Beetle2,Beetle3,Beetle4,Beetle5,Beetle6,Beetle7,Beetle8,Beetle9,Beetle10,Beetle11,Beetle12,Beetle13,Beetle14,Beetle15,Beetle16,Beetle17,Beetle18,Beetle19,Beetle20,Beetle21,Beetle22,Beetle23,Beetle24,Beetle25,Beetle26,Beetle27,Beetle28,Beetle29,Beetle30,Curculionid,Dryopidae,Dytiscid.larvae,Nondytiscid.larva,Dead.fungus.beetle,Unknown.beetle,,,,,,Opilionid1,,Spider1,Spider2,Dam.Diff.Spider ,,Pseudoscorpion,Ant1,,Wasp1,Wasp2,Wasp3,Wasp4,Wasp5,Wasp6 ,,Stripey.fly,Empididae ,Psychodid.adult,One.cell.fly,Tabanid,Fly1,Fly2,Fly3,Fly4,Fly5,Fly6,Fly7,Fly8,Fly9,Fly10,Fly11,Fly12,Fly13,Tipulidae,Tipulid.larva,Chiron.larva,Ceratopog.larva,Orange.fly,Psychod.larva,One.cell.fly,Dipt.larvae,Unknownflies,,,Oribatid1,Oribatid2,Oribatid3,Oribatid5,Oribatid4,Prostigmatid2,Red.bright,Others,,Millepide1,Millepide2,Millipede3,,Centipede1,Centipede2,,Hemiptera,,Caterpillar1,,Cricket,Trichopt.adult,Plecopt.adult,Flat.snail,Tower.snail,Black.slug,,,Isopod1,Isopod2,,Flea.1,Oligochaete,Frog,Salamander,Tot.taxa,Abund,Notes
19,GRIF,NONDIS,GRIF NON DIS 4,2017,June,14,14-Jun-17,14-Jun-17,1,13,52,66,,,3,8,21,3,, ,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,40,,,,,,0,2,,,2,,2,2,1,,,,,,1,6,2,1,,,,,,,,,,,,,,,,,,1,,,,,1,,11,,13,5,,,,9,,2,29,2,,,2,,,0,,0,,0,,,,2,,,2,0,1,,1,1,,,,26,199,Check if   2Empididae are indeed that. White larva labelled Diptera but could be else. Check if Wasp is act.#1
20,MIKE,NONDIS,MIKE NON DIS 1,2017,June,14,14-Jun-17,14-Jun-17,0,2,2,4,,,4,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,0,,1,,1,,,0,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,1,,,,,3,,,4,,,,0,,,0,,0,,0,,,,,,,0,0,,,0,,,,,11,22,
21,G,DIS,G DIS 1,2017,June,14,14-Jun-17,14-Jun-17,10,0,30,40,,,5,2,19,1,3,,2,,1,,,,,,,,,,,,6,,,,,,,,,,,,,,39,,,,,,0,,,,0,,,0,,,,,,,0,12,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,15,,,2,,,,6,,1,9,,,,0,,,0,,0,,0,,,,,,,0,0,,,0,,1,,,20,143,"Unsure about Beetle 9, check"
22,GRIF,NONDIS,GRIF NON DIS 3,2017,June,14,14-Jun-17,14-Jun-17,0,11,31,42,,,,6,28,3,2,,1,,7,,,1,,,,,,,,,5,,,,,,,,,,,2,1,,56,,,,,,0,,,,0,,1,1,,,,,,,0,9,11,1,,,,,,,,,,,,,,,,3,,,,,3,,,,27,,13,2,,,,20,,2,37,2,1,,3,,,0,,0,,0,,,,,,,0,0,1,,1,,,,1,28,224,Plus one stonefly head
23,MIKE,NONDIS,MIKE NON DIS 1,2017,June,14,14-Jun-17,14-Jun-17,4,10,85,99,,,3,,26,2,2,,,,,,1,,,,,,,,,,2,,,,,,,,,,,1,,,37,,,,,,0,,1,,1,1,,0,,,,,,,0,13,39,4,,1,,,,,,,,,,,,,,1,,,,,1,,,,59,,2,,,,,9,,2,13,1,1,,2,,,0,,0,,0,,,,1,1,,2,0,3,,3,,,,,27,255,
24,GRIF,DIS,GRIF DIS 4,2017,June,14,14-Jun-17,14-Jun-17,0,10,37,47,,,,,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,12,,,,,,0,,,2,2,,,0,,,,,,,0,2,,1,,,,,,1,,,,,,,,,,1,,,,,2,,1,,8,,1,2,,,,3,,4,10,,,,0,,,0,,0,,0,,,,1,2,,3,0,22,,22,,1,,,22,119,The Diptera larva is actually pupa; largest snail for ID
25,GRIF,NONDIS,GRIF NON DIS 1,2017,June,14,14-Jun-17,14-Jun-17,0,3,22,25,,,,,4,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,0,,,,0,1,,0,,,,,,,0,2,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,,2,5,,,,1,,2,10,,,,0,,,0,,0,,0,,,,,,,0,0,1,,1,,,,,15,51,Beetle 9 short antenna version. Dptera larva could be something else.
26,GRIF,DIS,GRIF DIS 4,2017,June,14,14-Jun-17,14-Jun-17,0,3,70,73,,,,,7,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,9,,,,,,0,1,4,,5,,,0,,,,,,,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,4,,,,,,,4,,,,0,,,0,,0,,0,,,,,,,0,0,3,,3,,,,,13,111,
27,MIKE,DIS,MIKE DIS 4,2017,June,14,14-Jun-17,14-Jun-17,80,9,95,184,,,5,1,3,,,,3,,,,2,,,,1,,,,,3,1,,,,,,,,,,,,1,,20,,,,,,0,,,,0,,,0,,,,,,,0,4,,1,,,,,1,,,,,,,,,,,1,,,,,,,,,7,,2,2,,,,3,1,,8,,,,0,,,0,,0,,0,,1,,,,1,0,1,,1,1,,,,,24,242,Some Chubby Empididae; 1 nematode
28,GRIF,DIS,GRIF DIS 3,2017,June,14,14-Jun-17,14-Jun-17,2,16,58,76,,, ,6,36,3,,,,,5,,,,,,4,,,,,,9,1,,,,,,,,,,,5,,69,,,,,,0,,,,0,1,4,4,,,1,,,,1,7,,,,,,,,,1,,,,,,,,,1,,1,,,,,1,,11,,16,1,,,,15,,1,33,1,,,1,,,0,,0,,0,,,,,,,0,0,8,,8,,1,,,28,274,
29,GRIF,NONDIS,GRIF NON DIS 2,2017,June,14,14-Jun-17,14-Jun-17,0,7,90,97,,,1,1,12,3,1,,,,,,1,,,,,,1,,,,5,1,,,,,,,,,,,,,26,,,,,1,1,1,1,,2,,,0,,1,,,,,1,5,16,1,,,,,,,,,,,,,,,,1,,,,,,,1,,24,,12,1,,,,1,1,4,19,,,,0,,,0,,0,,0,,,1,1,,,1,0,5,,5,,,,,30,205,
30,GRIF,NONDIS,GRIF NON DIS 1,2017,June,14,14-Jun-17,14-Jun-17,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,1,,,1,,,0,,,,,,,0,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,4,,,4,,,,0,,,0,,0,,0,,,,,,,0,0,1,,1,,1,,,10,11,
31,GRIF,DIS,GRIF DIS 2,2017,June,14,14-Jun-17,14-Jun-17,0,2,6,8,,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,0,2,,,2,,,0,,,,,,,0,6,1,,,,,,,,,1,,,,,,,,1,,,,,,,,,9,,,,,,,,,,0,,,,0,,,0,,0,,0,,,,1,,,1,0,,,0,,,,,12,32,"2 Strypey flies are brown, may be' Stripey2'?. The one 'other' mite looks like a tick"
32,GRIF,DIS,GRIF DIS 1,2017,June,14,14-Jun-17,14-Jun-17,0,0,1,1,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,0,,,,0,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,1,,1,2,,,,0,,,0,,0,,0,,,,,,,0,0,,,0,,,,,9,8,
33,MIKE,DIS,MIKE DIS 3,2017,June,14,14-Jun-17,14-Jun-17,0,10,27,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,1,1,2,,1,1,,,,,,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,9,,3,2,,,1,2,2,,10,,,,0,,,0,,0,,0,,,,,,,0,0,,,0,,,,,16,61,Chubby Empididae
34,G,NONDIS,G NON DIS 2,2017,July,12,12-Jul-17,12-Jul-17,0,8,3,11,,,148,1,17,7,,,12,,4,,,,,,79,,,,,5,303,,6,4,,,,,,,1,,,,587,,,,,,0,,,,0,,,0,2,,3,2,,,7,32,63,25,,,,,,4,,,8,15,1,1,,,,3,,,,,,,,,152,,1,1,,,,115,,1,118,,,,0,1,,1,,0,,0,,,,1,,,1,0,1,,1,,,,,35,1465,13 'Empididae' are chubbier. There might be 2 types of Beetle9 (here 3 have 3 exposed abd. segments)
35,GRIF,NONDIS,GRIF NON DIS 3,2017,July,12,12-Jul-17,12-Jul-17,0,2,11,13,,,5,,,1,,,1,,2,,,3,,,80,,,,,1,12,,1,,,,,,,,,13,4,,123,,,,,,0,,,,0,,1,1,,,1,1,,,2,2,6,3,,,,,,1,,,,6,,,,,,,,,,,,,7,,25,,1,,,,,10,,,11,1,,,1,,,0,,0,1,1,,,,,,,0,0,,,0,,,,,28,300,The 7 Dipt larva are 'Spikey'
36,MIKE,NONDIS,MIKE NON DIS 3,2017,July,13,13-Jul-17,13-Jul-17,0,6,17,23,,,22,,,3,,,1,,2,,2,,,,97,,,,,1,31,,,,,,,,,,,6,,,165,,,,,,0,1,1,,2,,1,1,,,,1,,,1,16,7,3,,,,,1,,,1,2,11,,,,,,1,,,,,,,7,,49,,1,,,,,5,,1,7,2,,,2,,,0,,0,,0,,,,,,1,0,1,,,0,,,,,31,418,
37,MIKE,DIS,MIKE DIS 4,2017,July,13,13-Jul-17,13-Jul-17,0,0,0,0,,,19,,2,3,,,2,,1,,,,,,47,,,,,,10,,,,,,,,,,,,,,84,,,,,,0,3,,,3,,,0,,1,1,,,,2,3,4,11,,,,,,,,1,,9,,,,,,1,,,,,,,,,29,,1,,,,,3,,1,5,,,,0,,,0,,0,,0,,,,,,,0,0,,,0,,,,,23,210,
38,GRIF,NONDIS,GRIF NON DIS 2,2017,July,12,12-Jul-17,12-Jul-17,0,6,13,19,,,31,,1,19,,,10,,1,1,1,,,,22,,,,,,14,,,,,,,,,,,1,7,,108,,,,,,0,3,1,,4,,1,1,,1,,,,,1,8,20,1,,,,1,1,7,,,7,15,,2,,,,,,,,,,,,,62,,3,,,,,8,4,,15,4,14,,18,,,0,,0,,0,,,,2,,,2,0,13,,13,,,1,,36,356,Not sure if coleoptera larva or something else
39,G,DIS,G DIS 4,2017,July,13,13-Jul-17,13-Jul-17,0,3,1,4,,,20,,9,24,1,,,,,2,1,,,,30,,,,,,6,,,,,,,,,,,1,,,94,,,,,,0,,2,,2,,,0,2,,,1,4,,7,5,35,10,,,,12,1,,,,,10,,11,1,,,,,,,,,,,,85,,2,1,,,,11,2,3,19,1,,,1,,,0,,0,,0,,,,2,,,2,0,,,0,,,,,32,310,"Potentially 2 types of Beetle6, and maybe 2types of Empididae (5 skinny, 29 darker head)"
40,MIKE,DIS,MIKE DIS 3,2017,July,13,13-Jul-17,13-Jul-17,0,8,3,11,,,4,,2,9,,1,7,,,,2,,,,44,,,,,,8,,,16,2,,,,,,,,1,,96,,,,,1,1,1,1,,2,,,0,3,,,1,,,4,62,57,7,,,,3,,,,,62,35,,,,,,3,,,,,,1,1,4,235,,1,,,,,310,,,311,,,,0,1,,1,,0,,0,,,,,,2,0,2,2,,2,,,,,35,763,Also 1Beetle11 head; the 4Unknown 1mm Diptera could be Ceratopogonid >10 of Empididae have black head. Plus 2*B5-like beetles but more elongated
41,MIKE,NONDIS,MIKE NON DIS 2,2017,July,13,13-Jul-17,13-Jul-17,0,2,41,43,,,25,,2,9,1,1,1,,2,,1,,,,156,,,,,,47,,,,,,,,,,1,1,1,,248,,,,,,0,,,,0,,,0,,,,,,,0,7,4,,,,,1,,2,,,1,10,,,,,,3,,,,,,,,,28,,,,,,,1,,,1,,,,0,,,0,,0,,0,,,,1,,,1,0,1,,1,,,,,27,570,"Large and short Beetle 23, one of the Fly4 has yellow belly"
42,GRIF,DIS,GRIF DIS 1,2017,July,12,12-Jul-17,12-Jul-17,0,1,11,12,,,82,,3,3,2,2,3,,3,,1,,,,123,,,,,,27,,,8,,,,,,,,1,,,258,,,,,,0,4,2,,6,,,0,,,,,,,0,21,4,8,,,,1,,6,,,8,,,,,,,,,,,,,2,,,50,,,,,,,,,1,1,,,,0,,,0,,0,,0,,,,,,,0,0,8,,8,,,,,27,599,I combined beetles 23 and 26 in this sample.One of Fly4 is blueish
43,G,NONDIS,G NON DIS 4,2017,July,13,13-Jul-17,13-Jul-17,0,3,0,3,,,30,,3,4,,,,1,1,,,,,,82,,,,,,35,,,2,,,,,,,,,3,,161,,,,,,0,,2,,2,1,,0,,1,,,5,2,8,5,9,1,,,,,,,,,2,,,,,,,,,,,,,,,,17,,1,,,,,,,1,2,,,,0,1,,1,,0,,0,,,,,,,0,0,,,0,,,,1,26,359,
44,MIKE,NONDIS,MIKE NON DIS 4,2017,July,13,13-Jul-17,13-Jul-17,0,5,11,16,,,49,,4,2,1,,2,11,,,,1,,,81,,,,,,47,,,,,,,,,,,,6,,204,,,,,,0,3,1,,4,,,0,1,,,,1,,2,13,5,4,,,,,,,,,,19,,,,,,,,,,,,,3,,44,,1,,,,,3,1,,5,3,,,3,,,0,,0,,0,,,,1,,,1,0,,,0,1,,,,29,488,One of dead beetle fungus was alive +1 dif. Fly2mm +1 dead cricket
45,G,DIS,G DIS 3,2017,July,13,13-Jul-17,13-Jul-17,1,3,4,8,,,37,1,11,,,,21,,1,1,1,,,,41,,1,,,,22,,,,,,,,,,1,,,,138,,,,,,0,3,,,3,1,,0,1,,,,,,1,12,17,5,,2,,1,,1,,,,12,,,,,,,,,,,,,4,,54,,,,,,,9,2,4,15,1,1,,2,,,0,,0,,0,,,,1,1,1,2,1,4,,4,,,,,35,370,4Diptera larvae prob. Syrphid+8 tickunnsure
46,G,NONDIS,G NON DIS 3,2017,July,13,13-Jul-17,13-Jul-17,0,1,0,1,,,46,,2,,,,,,6,,,,,,66,,,,,,41,,,,,,,,,,1,1,,,163,,,,,,0,6,1,,7,,1,1,,,,,1,1,2,2,12,1,,,,,,,,,2,12,,,,,,2,,,,,2,4,,,37,,2,,,,,7,1,,10,1,,,1,,1,1,1,1,,0,2,,,,,,0,0,3,,3,,,,,32,399,
47,GRIF,NONDIS,GRIF NON DIS 4,2017,July,16,16-Jul-17,16-Jul-17,0,3,6,9,,,19,,,7,1,,9,,2,,1,1,,,119,,,,,,21,,,1,,,,,,,,,1,,182,,,,,,0,,5,1,6,,1,1,,,,,,,0,13,3,,,,,,,,,,2,,,,,,,,,,,,1,,,,19,,3,,,,,41,,3,47,1,,,1,,,0,,0,,0,,,,,,,0,0,,,0,,,,,26,453,1 stripey different abdomen
48,GRIF,DIS,GRIF DIS 3,2017,July,12,12-Jul-17,12-Jul-17,0,0,18,18,,,8,1,9,23,2,,5,3,2,,,3,,,122,,,,,,55,,,1,,1,3,,,,,,2,,240,,,,,,0,,2,2,4,,,0,,,,1,,,1,12,8,1,,,,2,,4,,,2,2,,,,,,1,,,,,,,1,,33,,2,,,,,7,,,9,1,,,1,1,,1,,0,,0,,,,1,,,1,0,3,,3,,,,,37,555,"Blueish version of Fly 4, yeloow wings"
49,MIKE,NONDIS,MIKE NON DIS 1,2017,July,13,13-Jul-17,13-Jul-17,0,1,7,8,,,8,,3,3,,,2,,,,4,,,,17,,,,,,5,,,1,,,,,,,1,,2,,46,,,,,,0,,3,,3,,,0,,,1,1,1,,3,10,3,3,,1,,1,,1,,,2,22,,,,,,1,,,,,,,,,44,,,,,,,8,,,8,1,,,1,1,,1,,0,,0,,,,2,,,2,0,2,,2,,,,,32,167,2*Fly7 check if beetle7 or fly7
50,GRIF,NONDIS,GRIF NON DIS 1,2017,July,12,12-Jul-17,12-Jul-17,0,1,18,19,,,21,1,3,,,,,,,,,,,,2,,,,,,12,,,,,,,,,,,,,,39,,,,,,0,10,,,10,,12,12,,,,,1,,1,,10,5,,3,,1,,1,,,1,,,,,,,,,,,,,,,,21,,,12,,,,1,,,13,,,,0,,,0,,0,,0,,,,,,,0,0,19,,19,,,,,21,183,Unknown 2mm pupa. Possibly 2types of ants (2+10)
51,GRIF,DIS,GRIF DIS 4,2017,July,12,12-Jul-17,12-Jul-17,1,3,12,16,,,29,4,8,,1,,6,,,,1,,,,99,,,,,1,11,,,,,,,5,,,,,,,165,,,,,,0,1,1,,2,1,,0,,,,,,,0,22,7,1,,,,,,4,,,,10,,,,,6,,1,,,,3,1,7,,62,,6,1,,,,5,,,12,,,,0,,,0,,0,,0,,,1,,1,,1,0,15,,15,,,,,33,442,"One of Fly4 blue abd with yellow wings; 2 tyoes of Diptera larva2Empididae look sli.different,"
52,MIKE,DIS,MIKE DIS 1,2017,July,13,13-Jul-17,13-Jul-17,1,2,9,12,,,70,1,3,,,,,,,,2,,,,49,,,,,,27,,,,,,,,,,,,1,,153,,,,,,0,3,,1,4,1,2,2,,,,,1,,1,8,7,2,,,,,,,,,1,,,,,,1,1,,,,,,1,,,21,,2,,,,,2,,1,5,4,,,4,2,,2,,0,,0,,,,,,,0,0,1,,1,,,,,29,363,
53,G,NONDIS,G NON DIS 1,2017,July,12,12-Jul-17,12-Jul-17,0,2,0,2,,,11,,1,1,,,5,,11,,1,1,,,54,,,,,,56,,,,,,,,,,,,1,,142,,,,,,0,,,,0,,1,1,,,,,1,,1,7,4,,,,,,,,,,1,,,,,,,,,,,,,1,,,13,,4,,,,,25,,1,30,,,,0,,,0,,0,,0,1,,,,,,0,0,,,0,,,,,24,332,
54,G,DIS,G DIS 1,2017,July,12,12-Jul-17,12-Jul-17,1,1,15,17,,,77,,,,,,1,,2,,,,,,40,,,2,,5,131,,2,1,,,,,,,1,,,,262,,,,,,0,1,,,1,,,0,1,,,,1,,2,74,20,4,,,,1,,1,,,,4,,,,,1,,,,,,,6,,,111,,,,,,,52,1,1,54,1,,,1,,,0,,0,,0,1,,,1,,4,1,4,,,0,,,,,32,717,
